Fájlnév;Hiba típus;Részletek
._35170.pdf;OCR_FAILED;Nem olvasható szöveg
._35172.pdf;OCR_FAILED;Nem olvasható szöveg
._35173.pdf;OCR_FAILED;Nem olvasható szöveg
._35202.pdf;OCR_FAILED;Nem olvasható szöveg
._35239.pdf;OCR_FAILED;Nem olvasható szöveg
._35287.pdf;OCR_FAILED;Nem olvasható szöveg
._35395.pdf;OCR_FAILED;Nem olvasható szöveg
._35419.pdf;OCR_FAILED;Nem olvasható szöveg
._35420.pdf;OCR_FAILED;Nem olvasható szöveg
._35426.pdf;OCR_FAILED;Nem olvasható szöveg
._35427.pdf;OCR_FAILED;Nem olvasható szöveg
._35428.pdf;OCR_FAILED;Nem olvasható szöveg
._35499.pdf;OCR_FAILED;Nem olvasható szöveg
._35506.pdf;OCR_FAILED;Nem olvasható szöveg
._35519.pdf;OCR_FAILED;Nem olvasható szöveg
._35520.pdf;OCR_FAILED;Nem olvasható szöveg
._35546.pdf;OCR_FAILED;Nem olvasható szöveg
._35656.pdf;OCR_FAILED;Nem olvasható szöveg
._35666.pdf;OCR_FAILED;Nem olvasható szöveg
._35676.pdf;OCR_FAILED;Nem olvasható szöveg
._35796.pdf;OCR_FAILED;Nem olvasható szöveg
._35832.pdf;OCR_FAILED;Nem olvasható szöveg
._35833.pdf;OCR_FAILED;Nem olvasható szöveg
._35834.pdf;OCR_FAILED;Nem olvasható szöveg
._35835.pdf;OCR_FAILED;Nem olvasható szöveg
._35836.pdf;OCR_FAILED;Nem olvasható szöveg
._35837.pdf;OCR_FAILED;Nem olvasható szöveg
._35906.pdf;OCR_FAILED;Nem olvasható szöveg
._35976.pdf;OCR_FAILED;Nem olvasható szöveg
._36064.pdf;OCR_FAILED;Nem olvasható szöveg
._36068.pdf;OCR_FAILED;Nem olvasható szöveg
._36072.pdf;OCR_FAILED;Nem olvasható szöveg
._36085.pdf;OCR_FAILED;Nem olvasható szöveg
._36103.pdf;OCR_FAILED;Nem olvasható szöveg
._36133.pdf;OCR_FAILED;Nem olvasható szöveg
._36176.pdf;OCR_FAILED;Nem olvasható szöveg
._36185.pdf;OCR_FAILED;Nem olvasható szöveg
._36225.pdf;OCR_FAILED;Nem olvasható szöveg
._36226.pdf;OCR_FAILED;Nem olvasható szöveg
._36227.pdf;OCR_FAILED;Nem olvasható szöveg
._36232.pdf;OCR_FAILED;Nem olvasható szöveg
._36257.pdf;OCR_FAILED;Nem olvasható szöveg
._36258.pdf;OCR_FAILED;Nem olvasható szöveg
._36259.pdf;OCR_FAILED;Nem olvasható szöveg
._36262.pdf;OCR_FAILED;Nem olvasható szöveg
._36271.pdf;OCR_FAILED;Nem olvasható szöveg
._36290.pdf;OCR_FAILED;Nem olvasható szöveg
._36295.pdf;OCR_FAILED;Nem olvasható szöveg
._36296.pdf;OCR_FAILED;Nem olvasható szöveg
._36297.pdf;OCR_FAILED;Nem olvasható szöveg
._36298.pdf;OCR_FAILED;Nem olvasható szöveg
._36299.pdf;OCR_FAILED;Nem olvasható szöveg
._36300.pdf;OCR_FAILED;Nem olvasható szöveg
._36301.pdf;OCR_FAILED;Nem olvasható szöveg
._36302.pdf;OCR_FAILED;Nem olvasható szöveg
._36317.pdf;OCR_FAILED;Nem olvasható szöveg
._36327.pdf;OCR_FAILED;Nem olvasható szöveg
._36359.pdf;OCR_FAILED;Nem olvasható szöveg
._36403.pdf;OCR_FAILED;Nem olvasható szöveg
._36408.pdf;OCR_FAILED;Nem olvasható szöveg
._36440.pdf;OCR_FAILED;Nem olvasható szöveg
._36441.pdf;OCR_FAILED;Nem olvasható szöveg
._36448.pdf;OCR_FAILED;Nem olvasható szöveg
._36475.pdf;OCR_FAILED;Nem olvasható szöveg
._36549.pdf;OCR_FAILED;Nem olvasható szöveg
._36559.pdf;OCR_FAILED;Nem olvasható szöveg
._36561.pdf;OCR_FAILED;Nem olvasható szöveg
._36621.pdf;OCR_FAILED;Nem olvasható szöveg
._36622.pdf;OCR_FAILED;Nem olvasható szöveg
._36623.pdf;OCR_FAILED;Nem olvasható szöveg
._36633.pdf;OCR_FAILED;Nem olvasható szöveg
._36646.pdf;OCR_FAILED;Nem olvasható szöveg
._36647.pdf;OCR_FAILED;Nem olvasható szöveg
._36651.pdf;OCR_FAILED;Nem olvasható szöveg
._36757.pdf;OCR_FAILED;Nem olvasható szöveg
._36772.pdf;OCR_FAILED;Nem olvasható szöveg
._36780.pdf;OCR_FAILED;Nem olvasható szöveg
._36843.pdf;OCR_FAILED;Nem olvasható szöveg
._36904.pdf;OCR_FAILED;Nem olvasható szöveg
._36962.pdf;OCR_FAILED;Nem olvasható szöveg
._36990.pdf;OCR_FAILED;Nem olvasható szöveg
._36993.pdf;OCR_FAILED;Nem olvasható szöveg
._37000.pdf;OCR_FAILED;Nem olvasható szöveg
._37005.pdf;OCR_FAILED;Nem olvasható szöveg
._37010.pdf;OCR_FAILED;Nem olvasható szöveg
._37053.pdf;OCR_FAILED;Nem olvasható szöveg
._37059.pdf;OCR_FAILED;Nem olvasható szöveg
._37137.pdf;OCR_FAILED;Nem olvasható szöveg
._37138.pdf;OCR_FAILED;Nem olvasható szöveg
._37142.pdf;OCR_FAILED;Nem olvasható szöveg
._37168.pdf;OCR_FAILED;Nem olvasható szöveg
._37199.pdf;OCR_FAILED;Nem olvasható szöveg
._37222.pdf;OCR_FAILED;Nem olvasható szöveg
._37246.pdf;OCR_FAILED;Nem olvasható szöveg
._37416.pdf;OCR_FAILED;Nem olvasható szöveg
._37439.pdf;OCR_FAILED;Nem olvasható szöveg
._37463.pdf;OCR_FAILED;Nem olvasható szöveg
._37495.pdf;OCR_FAILED;Nem olvasható szöveg
._37540.pdf;OCR_FAILED;Nem olvasható szöveg
._37546.pdf;OCR_FAILED;Nem olvasható szöveg
._37598.pdf;OCR_FAILED;Nem olvasható szöveg
._37864.pdf;OCR_FAILED;Nem olvasható szöveg
._37869.pdf;OCR_FAILED;Nem olvasható szöveg
._37879.pdf;OCR_FAILED;Nem olvasható szöveg
._37887.pdf;OCR_FAILED;Nem olvasható szöveg
._37916.pdf;OCR_FAILED;Nem olvasható szöveg
._37998.pdf;OCR_FAILED;Nem olvasható szöveg
._38000.pdf;OCR_FAILED;Nem olvasható szöveg
._38031.pdf;OCR_FAILED;Nem olvasható szöveg
._38071.pdf;OCR_FAILED;Nem olvasható szöveg
._38079.pdf;OCR_FAILED;Nem olvasható szöveg
._38082.pdf;OCR_FAILED;Nem olvasható szöveg
._38210.pdf;OCR_FAILED;Nem olvasható szöveg
._38211.pdf;OCR_FAILED;Nem olvasható szöveg
._38221.pdf;OCR_FAILED;Nem olvasható szöveg
._38340.pdf;OCR_FAILED;Nem olvasható szöveg
._38377.pdf;OCR_FAILED;Nem olvasható szöveg
